序號	機構單位名稱	原始資料集	地址	電話	資料類別	wgs84aX	wgs84aY
292	王仁樟皮膚科診所	診所	嘉義市西區民生南路９號	05 2293829	醫藥服務		
293	黃敏宏皮膚科診所	診所	嘉義市西區新民路９３８號	05-2287079	醫藥服務		
294	陳霖生內科診所	診所	嘉義市西區民生北路238號1樓	05 2291675	醫藥服務		
295	育全診所	診所	嘉義市西區友愛路１１５號	05 2343758	醫藥服務		
296	李建忠眼科診所	診所	嘉義市西區新榮路１７８１８０號	05 2222877	醫藥服務		
297	民族診所	診所	嘉義市西區民族路７０１號1- 4樓	05 2276008	醫藥服務		
298	洪瑞禧診所	診所	嘉義市西區林森西路五五二號	2293625	醫藥服務		
299	太和診所	診所	嘉義市西區新榮路七五號一樓	05-2222856	醫藥服務		
300	邱碩堯耳鼻喉科診所	診所	嘉義市西區垂楊路五OO號	05-2273115	醫藥服務		
301	蔡湯鎮眼科診所	診所	嘉義市西區新民路653號	05-2368019	醫藥服務		
302	正安診所	診所	嘉義市西區興業西路342號1、３樓	25-2865278	醫藥服務		
303	羅銓中診所	診所	嘉義市西區民生北路89號地下室	05-2222979	醫藥服務		
304	戴昌隆皮膚科診所	診所	嘉義市西區博愛路二段277號	05 2339307	醫藥服務		
305	安生婦產科診所	診所	嘉義市西區中正路565號	05-2223377	醫藥服務		
306	王國哲診所	診所	嘉義市西區博愛路二段三五九號一二樓	2332883	醫藥服務		
307	極緻整形外科診所	診所	嘉義市西區新民路618之2號一樓	05-2852757	醫藥服務		
308	盈安診所	診所	嘉義市西區北興街二四五之三號	05-2318472	醫藥服務		
309	許維倫診所	診所	嘉義市西區民生南路四三八號一樓	05-2868895	醫藥服務		
310	郭育祥診所	診所	嘉義市西區博愛路二段240號一樓	05-2338855	醫藥服務		
311	吳耳鼻喉科診所	診所	嘉義市西區中山路406號	05 2222258	醫藥服務		
312	宏元家庭醫學科診所	診所	嘉義市西區國華街236號1樓	05-2165555	醫藥服務		
313	安泰眼科診所	診所	嘉義市西區仁愛路482號1、2樓	05-2282278	醫藥服務		
314	許銘瑞診所	診所	嘉義市西區新民路936號1、2樓	05-2227784	醫藥服務		
315	德祐眼科診所	診所	嘉義市西區仁愛路482號1、2樓	2282278	醫藥服務		
316	慎諭婦產科診所	診所	嘉義市西區民生南路118-7號、118-7號2樓	2253652	醫藥服務		
317	賴大川診所	診所	嘉義市西區慶昇里西榮街２４１號	05 2234511	醫藥服務		
318	程忠誠診所	診所	嘉義市西區新榮路７０號	05 2293068	醫藥服務		
319	蔣天來診所	診所	嘉義市西區國華街１７２號	05 2223350	醫藥服務		
320	弘仁診所	診所	嘉義市西區功科里忠義街１０１號	05 2226119	醫藥服務		
321	新民診所	診所	嘉義市西區新民路七０一．七０三號一.二樓	05 2851179	醫藥服務		
322	紀裕庭診所	診所	嘉義市西區光路里民生南路４８０號	05 2835123	醫藥服務		
323	侯瑞卿診所	診所	嘉義市西區福民里徐州六街５2.54號	05 2859659	醫藥服務		
324	人義診所	診所	嘉義市西區南京路502號-2	05-2368083	醫藥服務		
325	宏祐診所	診所	嘉義市西區友愛路二三五號	05-2336332	醫藥服務		
326	崇安診所	診所	嘉義市西區竹圍四路72.72-1號	05-2810729	醫藥服務		
327	張耿章診所	診所	嘉義市西區新建街2、4號1樓	05-2851285	醫藥服務		
328	大恩整體自然醫學診所	診所	嘉義市西區林森西路200號1、2樓	05-2234829	醫藥服務		
329	六福診所	診所	嘉義市西區興業西路333號1樓	2853300	醫藥服務		
330	鄭美蕊婦產科診所	診所	嘉義市西區民族路720號1樓	05-2293396	醫藥服務		
331	愛兒診所	診所	嘉義市西區民生南路45號1樓	05-2238233	醫藥服務		
332	吉祥醫美耳鼻喉科診所	診所	嘉義市西區興業西路273號1樓	2352516	醫藥服務		
333	大佳診所	診所	嘉義市西區新民路696號1樓	2212345	醫藥服務		
334	啟仁診所	診所	嘉義市西區中山路610號1樓	2257959	醫藥服務		
335	洪培凱耳鼻喉科診所	診所	嘉義市西區新民路632號1樓	05-2866689	醫藥服務		
336	施穎敏診所	診所	嘉義市西區興業西路77號	2840270	醫藥服務		
337	新眼光眼科診所	診所	嘉義市西區興業西路134號1樓	05-2838989	醫藥服務		
338	承鴻診所	診所	嘉義市西區南京路500號1樓	05-2865669	醫藥服務		
339	周安良診所	診所	嘉義市西區興業西路28號1樓	05-2230527	醫藥服務		
340	博愛診所	診所	嘉義市西區興業西路136、138號1樓	2866600	醫藥服務		
341	玉山診所	診所	嘉義市西區民生南路479號1樓	05-2361213	醫藥服務		
342	黃思超小兒科診所	診所	嘉義市西區民族路632號1樓	05-2163232	醫藥服務		
343	泓韋診所	診所	嘉義市西區上海路233號1樓	05-2838811	醫藥服務		
344	真善渼診所	診所	嘉義市西區義昌里15鄰民族路642號	2230505	醫藥服務		
345	長椿耳鼻喉科診所	診所	嘉義市西區致遠里興業西路86號	05-2289981	醫藥服務		
346	吳南逸診所	診所	嘉義市西區翠岱里興業西路122-7號1樓	05-2232388	醫藥服務		
347	丞品內科診所	診所	嘉義市西區興達路102號嘉義市興達路102號	2331182	醫藥服務		
348	安馨嘉義內科診所	診所	嘉義市西區友愛路239號1、2樓	2812525	醫藥服務		
349	巴黎雅診所	診所	嘉義市西區興業西路128號1樓	2865555	醫藥服務		
350	明家眼科診所	診所	嘉義市西區仁愛路482號2樓	2282278	醫藥服務		
351	永安診所	診所	嘉義市西區北興街406號	2320877	醫藥服務		
352	嘉祐耳鼻喉科診所	診所	嘉義市西區興業西路156號	2350860	醫藥服務		
353	開心診所	診所	嘉義市西區玉山路182號	2860208.093	醫藥服務		
354	大田耳鼻喉科診所	診所	嘉義市西區嘉義市西區民生南路684號		醫藥服務		
355	陳政康診所	診所	嘉義市西區興業西路36號	05-2714002	醫藥服務		
356	保安診所	診所	嘉義市西區新民路852號1樓	05-2862219	醫藥服務		
357	中興耳鼻喉科診所	診所	嘉義市西區中興路266號	05-2321088	醫藥服務		
358	祐明眼科診所	診所	嘉義市西區友愛路153號	05-2333310	醫藥服務		
359	仁愛神經內科診所	診所	嘉義市西區仁愛路355號	05-2253700	醫藥服務		
360	家馨診所	診所	嘉義市西區民族路732號	05-2251589	醫藥服務		
361	陳伯卿眼科診所	診所	嘉義市西區博愛路二段66號	05-2327070	醫藥服務		
362	民權診所	診所	嘉義市西區嘉義市民權路385號1樓	05-2252099	醫藥服務		
363	信合美診所	診所	嘉義市西區興業西路87、89號	05-2867272	醫藥服務		
364	仁弘診所	診所	嘉義市西區文化路603號1樓	05-2812580	醫藥服務		
365	嘉義市西區衛生所	診所	嘉義市西區福全里德明路１號	05 2223640	醫藥服務		
366	東門王耳鼻喉科診所	診所	嘉義市東區公明路131號1樓	05-2276563	醫藥服務		
367	立文小兒科診所	診所	嘉義市東區新生路782號1、2樓	05-2766286	醫藥服務		
368	許永福小兒科診所	診所	嘉義市東區垂楊路46號	05-2783058	醫藥服務		
369	台大風尚皮膚科診所	診所	嘉義市東區新生路612號1樓	05-2711711	醫藥服務		
370	和平眼科診所	診所	嘉義市東區和平路325號	2255561	醫藥服務		
371	蔡金火診所	診所	嘉義市東區吳鳳北路３５１號	05 2786788	醫藥服務		
372	仁和診所	診所	嘉義市東區吳鳳北路４２３號	05 2782762	醫藥服務		
373	旭豐診所	診所	嘉義市東區吳鳳南路5 8 3號	05 2302108	醫藥服務		
374	文山診所	診所	嘉義市東區府路里國華街１７１號	05 2293118	醫藥服務		
375	博文診所	診所	嘉義市東區台林街１０８之２號	05 2758866	醫藥服務		
376	張耿源診所	診所	嘉義市東區光華路80號	05 2279969	醫藥服務		
377	趙善楷耳鼻喉科診所	診所	嘉義市東區新生路２３０號	05 2759955	醫藥服務		
378	良如診所	診所	嘉義市東區新生路782號1、2樓	05  2779463	醫藥服務		
379	傅林診所	診所	嘉義市東區長竹里金龍街8號1樓	05-2781900	醫藥服務		
380	丁效曾整形外科診所	診所	嘉義市東區中山路229號、231號1、2樓	2222188	醫藥服務		
381	邱晉陽診所	診所	嘉義市東區吳鳳北路280號	2751973	醫藥服務		
382	羅大德診所	診所	嘉義市東區新生路588號1、2樓	2788297	醫藥服務		
383	嘉亮眼科診所	診所	嘉義市東區中山路236號1-3樓	2276969	醫藥服務		
384	向光眼科診所	診所	嘉義市東區民族路114號1樓	2788358	醫藥服務		
385	楊澍青診所	診所	嘉義市東區民權路110號1樓	05-2776001	醫藥服務		
386	新恩診所	診所	嘉義市東區新生路357號1樓；359號1、2樓	05-2777937	醫藥服務		
387	滿溢小兒科診所	診所	嘉義市東區垂楊路104號1樓	05-2767757	醫藥服務		
388	軍輝耳鼻喉科診所	診所	嘉義市東區軍輝路198號1樓	05-2301616	醫藥服務		
389	維欣醫美診所	診所	嘉義市東區太平里民權路108號2樓	05-2715789	醫藥服務		
390	賴瑪莉診所	診所	嘉義市東區新生路313號1樓	05-2741234	醫藥服務		
391	黃靖修內科診所	診所	嘉義市東區吳鳳北路389號1樓	05-2776108	醫藥服務		
392	劉怡慧皮膚科診所	診所	嘉義市東區吳鳳南路577號1樓	05-2393388	醫藥服務		
393	林育興耳鼻喉科診所	診所	嘉義市東區華南里民族路200號	05-2288568	醫藥服務		
394	福康診所	診所	嘉義市東區頂庄里新生路683號1、2樓	05-2715688	醫藥服務		
395	周裕軒身心醫學診所	診所	嘉義市東區民樂街141號1樓民樂街141號1樓	05-2229823	醫藥服務		
396	禾宜婦幼診所	診所	嘉義市東區林森西路95號嘉義市東區林森西路95號	2769449	醫藥服務		
397	廖學儒耳鼻喉科診所	診所	嘉義市東區中山路84號中山路84號	2779070	醫藥服務		
398	尚美整形外科診所	診所	嘉義市東區興中街145號1樓及2樓		醫藥服務		
399	洪文泓診所	診所	嘉義市東區林森東路470巷6號	2766266	醫藥服務		
400	怡康診所	診所	嘉義市東區林森東路496號	2770236	醫藥服務		
401	蕭正誠診所	診所	嘉義市東區公明路34號之4	2788938	醫藥服務		
402	祐健診所	診所	嘉義市東區民族路268巷7號3樓	2233438	醫藥服務		
403	昆德診所	診所	嘉義市東區林森東路287號	05-2788750	醫藥服務		
404	和威診所	診所	嘉義市東區中正路112-2號		醫藥服務		
405	興業耳鼻喉科診所	診所	嘉義市東區興業東路60號	05-2759591	醫藥服務		
406	玉貴人整形外科診所	診所	嘉義市東區民族路76-1號2樓	05-2775050	醫藥服務		
407	臺中榮民總醫院嘉義分院附設門診部	診所	嘉義市東區吳鳳北路35巷4號	05 2712145	醫藥服務		
408	侯耳鼻喉科診所	診所	嘉義市東區公明路３０１號	05 2222893	醫藥服務		
409	江昇洸診所	診所	嘉義市東區民權路２７９之１號	05 2258717	醫藥服務		
410	德洋診所	診所	嘉義市東區民權路１９０之１號	05 2784903	醫藥服務		
411	潘內兒科診所	診所	嘉義市東區公明路３５２號	05 2284757	醫藥服務		
412	陳顯章骨科診所	診所	嘉義市東區公明路３４２號	05 2253669	醫藥服務		
413	蔡耳鼻喉科診所	診所	嘉義市東區仁和里中山路２７０號	05 2222602	醫藥服務		
414	劉耳鼻喉科診所	診所	嘉義市東區民權路３２２之２號	05 2786915	醫藥服務		
415	何義明內兒科診所	診所	嘉義市東區文昌里文昌街１０９號	05 2226588	醫藥服務		
416	柯明裕家庭醫學科診所	診所	嘉義市東區吳鳳南路１１號	05 2237578	醫藥服務		
417	黃國榮內兒科診所	診所	嘉義市東區公明路２８３號	05 2224026	醫藥服務		
418	順安診所	診所	嘉義市東區公明路１９３號	05 2276911	醫藥服務		
419	林信義內兒科診所	診所	嘉義市東區中正路３１３號	05 2251025	醫藥服務		
420	明生內兒科診所	診所	嘉義市東區吳鳳南路６０５號	05 2398542	醫藥服務		
421	黃銘模診所	診所	嘉義市東區中正路３７４號	05 2247873	醫藥服務		
422	陳俊雄婦產科外科診所	診所	嘉義市東區鎮南里民族路２４８號	05 2221506	醫藥服務		
423	俊清外科診所	診所	嘉義市東區興業東路２０７號	05 2258464	醫藥服務		
424	張家庭醫學科診所	診所	嘉義市東區民權路９６之１號	05 2783208	醫藥服務		
425	懷恩診所	診所	嘉義市東區興中街１３７號	05 2277711	醫藥服務		
426	楊振榮內兒科診所	診所	嘉義市東區東興里忠孝路１７８號	05 2223254	醫藥服務		
427	福音聯合診所	診所	嘉義市東區吳鳳北路340號	05 2782036	醫藥服務		
428	鄭眼科診所	診所	嘉義市東區吳鳳北路２３９號	05 2226086	醫藥服務		
429	文祥小兒科診所	診所	嘉義市東區民權路３００之４號	05 2770777	醫藥服務		
430	華山診所	診所	嘉義市東區吳鳳北路１５１號	05 2248777	醫藥服務		
431	陳文勝診所	診所	嘉義市東區新開里垂揚路３３號	05 2256789	醫藥服務		
432	葉弘貴小兒科診所	診所	嘉義市東區仁和里中山路２５３號	05 2253863	醫藥服務		
433	孫小兒科診所	診所	嘉義市東區吳鳳北路２８９號	05 2222829	醫藥服務		
434	石內科診所	診所	嘉義市東區吳鳳南路６８７之２號	05 2301883	醫藥服務		
435	蘇婦產科診所	診所	嘉義市東區府路里蘭井街１７３之１號	05 2231886	醫藥服務		
436	宋思權診所	診所	嘉義市東區吳鳳北路３０９號	05 2286698	醫藥服務		
437	莊凱全小兒科診所	診所	嘉義市東區民權路１０之1號	05 2769658	醫藥服務		
438	華陽診所	診所	嘉義市東區檜村里忠孝路２８４之２號	05 2754038	醫藥服務		
439	蘇耳鼻喉科診所	診所	嘉義市東區宣信里垂楊路１７１號	05 2237078	醫藥服務		
440	安男診所	診所	嘉義市東區吳鳳北路２５１號	05 2224707	醫藥服務		
441	張森榮診所	診所	嘉義市東區延平街１０２號	05 2275086	醫藥服務		
442	彭診所	診所	嘉義市東區東仁里中山路１６５號	05 2233406	醫藥服務		
443	活石診所	診所	嘉義市東區忠孝路362之1號	05 2761596	醫藥服務		
444	林裕益婦產科診所	診所	嘉義市東區橧村里忠孝路３４０．３４２號	05 2778801	醫藥服務		
445	黃崇銘診所	診所	嘉義市東區新生路361號	05 2777686	醫藥服務		
446	德珍婦產科診所	診所	嘉義市東區吳鳳北路３３９號	05 2755339	醫藥服務		
447	吳長宗診所	診所	嘉義市東區光華路2之1號	05 239036	醫藥服務		
448	郭文吉神經科診所	診所	嘉義市東區吳鳳北路一九九號	05 2239365	醫藥服務		
449	郭健軍皮膚科診所	診所	嘉義市東區仁和里中山路２８４號	05 2273836	醫藥服務		
450	何光哲小兒科診所	診所	嘉義市東區新生路３０９號	05 2766878	醫藥服務		
451	嘉恩診所	診所	嘉義市東區興業東路237號1樓、２樓	05 2288092	醫藥服務		
452	宏醫診所	診所	嘉義市東區民族路309.311號	2254868	醫藥服務		
453	趙祥凱皮膚科診所	診所	嘉義市東區興南里垂楊路209號	05 2246236	醫藥服務		
454	信安診所	診所	嘉義市東區民權路二七八號	05-2785681	醫藥服務		
455	黃世斌小兒科診所	診所	嘉義市東區博東路47號	05-2710271	醫藥服務		
456	王診所	診所	嘉義市東區公明路131號	05-2276563	醫藥服務		
457	長鴻診所	診所	嘉義市東區民權路322號	05-2782113	醫藥服務		
458	吳國君診所	診所	嘉義市東區吳鳳北路四三三號一樓	52283298	醫藥服務		
459	李培源聯合診所	診所	嘉義市東區中山路175號	05-2222075	醫藥服務		
460	黃傳益婦產科診所	診所	嘉義市東區林森東路45號	05-2776306	醫藥服務		
461	欣升診所	診所	嘉義市東區新生路651號一樓	05-2765538	醫藥服務		
462	許小兒科診所	診所	嘉義市東區和平路二十二號	05-2280858	醫藥服務		
463	林仙明診所	診所	嘉義市東區大雅路二段599號	05-2770233	醫藥服務		
464	郭俊鋐診所	診所	嘉義市東區彌陀路二六二號	05-2771893	醫藥服務		
465	聖心診所	診所	嘉義市東區民權路367號一樓	05-2224800	醫藥服務		
466	嘉義市東區衛生所	診所	嘉義市東區東川里大雅路２段６２５號	05-2750423	醫藥服務		
467	重安牙醫診所	診所	嘉義市西區社內里民生北路２６０號	05 2254669	醫藥服務		
468	隆顯牙醫診所	診所	嘉義市西區光路里新民路５７３號	05 2858577	醫藥服務		
469	奉天牙醫診所	診所	嘉義市西區仁愛路５４８號	05 2247525	醫藥服務		
470	僑倫牙醫診所	診所	嘉義市西區民族路６５８號	05 2246715	醫藥服務		
471	翁牙醫診所	診所	嘉義市西區光彩街４６１號	05 2281918	醫藥服務		
472	憲昇牙醫診所	診所	嘉義市西區自強里興業西路２４８號	05 2852043	醫藥服務		
473	柳牙醫診所	診所	嘉義市西區北榮里文華街１號	05 2320634	醫藥服務		
474	仁安牙醫診所	診所	嘉義市西區國華街２２２之３號	05 2234118	醫藥服務		
475	莊牙醫診所	診所	嘉義市西區府路里忠義街６４號	05 2235922	醫藥服務		
476	王柏東牙醫診所	診所	嘉義市西區民權路４５３號	05 2231821	醫藥服務		
477	李芳美牙醫診所	診所	嘉義市西區長榮街３２７號	05 2225290	醫藥服務		
478	慈生牙醫診所	診所	嘉義市西區慶昌里博愛路一段４１１之５號	05 2334209	醫藥服務		
479	新民牙醫診所	診所	嘉義市西區新民路８３８號	05 2851179	醫藥服務		
480	樺昌牙醫診所	診所	嘉義市西區民生北路61號	05 2249695	醫藥服務		
481	頂好牙醫診所	診所	嘉義市西區民生南路二九四號五樓之二	05 2856261	醫藥服務		
482	歐牙醫診所	診所	嘉義市西區仁愛路４７８號	05 2247222	醫藥服務		
483	明仁堂牙醫診所	診所	嘉義市西區福民里興業西路２９５號	05 2362726	醫藥服務		
484	新生牙醫診所	診所	嘉義市西區民生北路97號1樓	05 2291298	醫藥服務		
485	佑寧牙醫診所	診所	嘉義市西區民安里中正路７１８號	05 2241402	醫藥服務		
486	丞泰牙醫診所	診所	嘉義市西區學圃里民生北路５４號	05 2256400	醫藥服務		
487	佑群牙醫診所	診所	嘉義市西區新民路６９９號	05 2362970	醫藥服務		
488	培元牙醫診所	診所	嘉義市西區垂楊里垂楊路５１７號２樓	05 2358188	醫藥服務		
489	上林牙醫診所	診所	嘉義市西區林森西路５３０號	05 2255478	醫藥服務		
490	統一牙醫診所	診所	嘉義市西區八德路３７號	05 2340803	醫藥服務		
491	協力牙醫診所	診所	嘉義市西區德安路４９號	05 2324825	醫藥服務		
492	天台牙醫診所	診所	嘉義市西區民族路五五八號	05 2238052	醫藥服務		
493	安麗牙醫診所	診所	嘉義市西區褔民里興業西路４０３號一樓	05 2868055	醫藥服務		
494	德安祥牙醫診所	診所	嘉義市西區北興街257號	05 2810691	醫藥服務		
495	超群牙醫診所	診所	嘉義市西區友愛路５６３號	05 2811586	醫藥服務		
496	慶宏牙醫診所	診所	嘉義市西區北興街１３９號	05 2314407	醫藥服務		
497	澤任大維牙醫診所 T.Z. DENTWAY	診所	嘉義市西區仁愛路349號1樓	05 2278625	醫藥服務		
498	中心牙醫診所	診所	嘉義市西區新榮路191號		醫藥服務		
499	博眾牙醫診所	診所	嘉義市西區民生南路391號	05-2835186	醫藥服務		
500	吳鴻宜牙醫診所	診所	嘉義市西區中山路378號1、2樓	05-2162166	醫藥服務		
501	中興牙醫診所	診所	嘉義市西區中興路297號	05-2329197	醫藥服務		
502	林森牙醫診所	診所	嘉義市西區林森西路201號	05-2237098	醫藥服務		
503	魏牙醫診所	診所	嘉義市西區興業西路七十八號一樓	05-2289157	醫藥服務		
504	佳品牙醫診所	診所	嘉義市西區南京路586號一樓	05-2861660	醫藥服務		
505	品雅牙醫診所	診所	嘉義市西區南京路97號	05-2841616	醫藥服務		
506	育瑄牙醫診所	診所	嘉義市西區民生南路510巷27號1樓	05-2852108	醫藥服務		
507	健雅牙醫診所	診所	嘉義市西區中興路446號	05-2841082	醫藥服務		
508	晴亮牙醫診所	診所	嘉義市西區興業西路236號1至2樓	05-2865888	醫藥服務		
509	得恩牙醫診所	診所	嘉義市西區福民里南京路468號1樓	05-2869689	醫藥服務		
510	健福牙醫診所	診所	嘉義市西區八德路227號2樓	05-2325288	醫藥服務		
511	格林牙醫診所	診所	嘉義市西區興業西路38號1樓	05-2222777	醫藥服務		
512	創新牙醫診所	診所	嘉義市西區中興路37號1、2樓	2320022	醫藥服務		
513	光禾牙醫診所	診所	嘉義市西區民生北路294號1樓	05-2288256	醫藥服務		
514	唐亨牙醫診所	診所	嘉義市西區北榮里文化路428號	05-2347000	醫藥服務		
515	勤美牙醫診所	診所	嘉義市西區新富里垂楊路506號	05-2234755	醫藥服務		
516	馬可牙醫診所	診所	嘉義市西區中正路436號	2245536	醫藥服務		
517	長春牙醫診所	診所	嘉義市西區西區保安二路58號	05-2320528	醫藥服務		
518	童心親子牙科診所	診所	嘉義市西區垂楊路436、438號1樓	05-2258068	醫藥服務		
519	現代牙醫診所	診所	嘉義市東區初陽里成仁街１號	05 2259251	醫藥服務		
520	上揚牙醫診所	診所	嘉義市東區吳鳳南路２１５號	05 2292546	醫藥服務		
521	蘇世忠牙醫診所	診所	嘉義市東區林森東路４１４號	05 2786469	醫藥服務		
522	高正川牙醫診所	診所	嘉義市東區民族路95號1樓、９７號２樓之２	05 2750055	醫藥服務		
523	敦眾牙醫診所	診所	嘉義市東區府路里蘭井街１７３號	05 2252586	醫藥服務		
524	專佳牙醫診所	診所	嘉義市東區新生路７８９號	05 2773507	醫藥服務		
525	靚美牙醫診所	診所	嘉義市東區民國路２４５號	05 2781010	醫藥服務		
526	宏恩牙醫診所	診所	嘉義市東區北城里忠孝路１８３號	05 2762876	醫藥服務		
527	芳榮牙醫診所	診所	嘉義市東區蘭井里忠孝路６８號	05 2232729	醫藥服務		
528	慈德牙醫診所	診所	嘉義市東區新店里義教街８號	05 2773372	醫藥服務		
529	佳音牙醫診所	診所	嘉義市東區中山路201號4樓	05 2235242	醫藥服務		
530	加恩牙醫診所	診所	嘉義市東區新開里市宅街１８之１號	05 2283815	醫藥服務		
531	黃于修牙醫診所	診所	嘉義市東區興中街１５４號	05 2285390	醫藥服務		
532	正典牙醫診所	診所	嘉義市東區大雅路二段576號	05 2769955	醫藥服務		
533	協志牙醫診所	診所	嘉義市東區中正路３４１號	05 2221111	醫藥服務		
534	張耿榮牙醫診所	診所	嘉義市東區中央里光華路８５號	05 2226829	醫藥服務		
535	理想牙醫診所	診所	嘉義市東區龍山里民族路132號	05 2778800	醫藥服務		
536	陳丕修牙醫診所	診所	嘉義市東區中山路51號1-2樓	05 2779901	醫藥服務		
537	尚亨牙醫診所	診所	嘉義市東區林森東路290號	05 2750745	醫藥服務		
538	佳德牙醫診所	診所	嘉義市東區吳鳳南路五０一號	05 2273676	醫藥服務		
539	和興牙醫診所	診所	嘉義市東區吳鳳南路５７７－１號１樓	05 2309908	醫藥服務		
540	黃文政牙醫診所	診所	嘉義市東區東噴里中山路102號	05 2757981	醫藥服務		
541	德明牙醫診所	診所	嘉義市東區龍山里文昌街４８號	05 2238823	醫藥服務		
542	大佳牙醫診所	診所	嘉義市東區吳鳳南路３５５號	05 2248579	醫藥服務		
543	慧安牙醫診所	診所	嘉義市東區興中街145-1號1樓	05 2716200	醫藥服務		
544	蕭嘉成牙醫診所	診所	嘉義市東區北榮街89號	2221990	醫藥服務		
545	董牙醫診所	診所	嘉義市東區民族路186號	05-2782156	醫藥服務		
546	宜家牙醫診所	診所	嘉義市東區興業東路78號1樓	05-2160689	醫藥服務		
547	陳興國牙醫診所	診所	嘉義市東區五福街65號	05-2781019	醫藥服務		
548	詮承牙醫診所	診所	嘉義市東區忠孝路284號之5號	05-2771299	醫藥服務		
549	安誼牙醫診所	診所	嘉義市東區嘉北街24號1樓	05-2763757	醫藥服務		
550	吳宗儒牙醫診所	診所	嘉義市東區初陽里興中街68之2號1樓	05-2290578	醫藥服務		
551	渥爾牙醫診所	診所	嘉義市東區忠孝路366號1、2、3樓	05-2763797	醫藥服務		
552	百立牙醫診所	診所	嘉義市東區忠孝路376號1、2樓	05-2765752	醫藥服務		
553	柯立心牙醫診所	診所	嘉義市東區大雅路二段460號1、２樓	2758777	醫藥服務		
554	王牙醫診所	診所	嘉義市東區蘭井街239號	963413789	醫藥服務		
555	正大牙醫診所	診所	嘉義市東區民權路190號	2780261	醫藥服務		
556	維欣牙醫診所	診所	嘉義市東區維新路125號1-2樓、127號1-2樓	05-2715789	醫藥服務		
557	幸福牙醫診所	診所	嘉義市東區軍輝路218號1、2樓	05-2398022	醫藥服務		
558	好亮牙醫診所	診所	嘉義市東區林森東路428號之1一樓	05-2789922	醫藥服務		
559	優格牙醫診所	診所	嘉義市東區中山路134號1樓	05-2168168	醫藥服務		
560	協和牙醫診所	診所	嘉義市東區吳鳳北路359號1樓 	2715211	醫藥服務		
561	人文新境牙醫診所	診所	嘉義市東區大雅路一段606號1、2樓	05-2763456	醫藥服務		
562	楊子立牙醫診所	診所	嘉義市東區東噴裡公明路160號	05-2750017	醫藥服務		
563	敦美牙醫診所	診所	嘉義市東區博東路41號	05-2768053	醫藥服務		
564	親親牙醫診所	診所	嘉義市東區民國路１９０號	05 2788278	醫藥服務		
565	杏林牙醫診所	診所	嘉義市東區吳鳳北路１４７號	05 2278218	醫藥服務		
566	美德牙醫診所	診所	嘉義市東區仁和里成仁街１８５號２樓	05 2229925	醫藥服務		
567	正安牙醫診所	診所	嘉義市東區文化路４３６號	05 2321476	醫藥服務		
568	林惠生牙醫診所	診所	嘉義市東區中正路１６１號	05 2276694	醫藥服務		
569	李牙醫診所	診所	嘉義市東區公明路３２２號	05 2221797	醫藥服務		
570	張牙醫診所	診所	嘉義市東區長榮街１０２號	05 2786736	醫藥服務		
571	邱牙醫診所	診所	嘉義市東區民權路２０８之４號	05 2784420	醫藥服務		
572	兄弟牙醫診所	診所	嘉義市東區仁武里中山路２１６號	05 2289054	醫藥服務		
573	泰安牙醫診所	診所	嘉義市東區興中街２８號	05 2238642	醫藥服務		
574	仁一牙醫診所	診所	嘉義市東區新生路７１１號	05 2776076	醫藥服務		
575	林牙醫診所	診所	嘉義市東區興中街２０２號	05 2782185	醫藥服務		
576	周牙醫診所	診所	嘉義市東區彌陀路２５６號	05 2771535	醫藥服務		
577	平安牙醫診所	診所	嘉義市東區新開里垂楊路８９號２樓之１	05 2287779	醫藥服務		
578	誠一牙醫診所	診所	嘉義市東區光彩街４００號	05 2256666	醫藥服務		
579	大義嘉牙醫診所	診所	嘉義市東區吳鳳南路１１７之１號	05 2254012	醫藥服務		
580	嘉興牙醫診所	診所	嘉義市東區和平路１４７號	05 2251987	醫藥服務		
581	嘉和牙醫診所	診所	嘉義市東區安平里成仁街７６號	05 2281926	醫藥服務		
582	第一牙醫診所	診所	嘉義市東區興中街９８之１號	05 2277375	醫藥服務		
583	大華牙醫診所	診所	嘉義市東區公明路２５６號	05 2284769	醫藥服務		
584	聯合牙醫診所	診所	嘉義市東區東噴里中山路６５號	05 2784396	醫藥服務		
585	慶華牙醫診所	診所	嘉義市東區安和街２４６號	05 2784452	醫藥服務		
586	輔仁牙醫診所	診所	嘉義市東區吳鳳南路２５８號	05 2238117	醫藥服務		
587	衛生福利部嘉義醫院	診所	嘉義市西區北港路312號		醫藥服務		
588	臺中榮民總醫院嘉義分院	診所	嘉義市西區劉厝里世賢路二段６００號		醫藥服務		
589	仁德醫療社團法人陳仁德醫院	診所	嘉義市西區林森西路285號		醫藥服務		
590	慶昇醫療社團法人慶昇醫院	診所	嘉義市西區新榮路339、339-1號		醫藥服務		
591	盧亞人醫院	診所	嘉義市西區民權路四０六號		醫藥服務		
592	安心醫院	診所	嘉義市西區新民路88號		醫藥服務		
593	世華醫院	診所	嘉義市西區仁愛路365號		醫藥服務		
594	祥太醫院	診所	嘉義市西區書院里延平街490號  永和街116號		醫藥服務		
595	戴德森醫療財團法人嘉義基督教醫院	診所	嘉義市東區中庄里忠孝路５３９號；		醫藥服務		
596	天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院	診所	嘉義市東區短竹里大雅路二段565號		醫藥服務		
