序號	機構單位名稱	原始資料集	地址	電話	資料類別	wgs84aX	wgs84aY
60	新北市私立衡安護理之家	機構喘息	新北市三峽區文化路59號5樓之1、6樓之2	86711558#171	長照		
61	新北市私立長恩老人長期照顧中心	機構喘息	新北市新莊區中正路393號4樓	22013158	長照		
62	新北市私立佳康老人長期照顧中心	機構喘息	新北市新莊區雙鳳路109號4樓、111號4樓、113號4樓	29083466	長照		
63	私立三民護理之家	機構喘息	新北市蘆洲區三民路26巷51號1、2樓	22886211、22885959	長照		
64	新北市私立捷安護理之家	機構喘息	新北市蘆洲區中山一路300號	22829859	長照		
65	新北市私立恩祥老人長期照顧中心(養護型)	機構喘息	新北市蘆洲區三民路26巷51號3樓	22886211	長照		
66	八里佳醫護理之家	機構喘息	新北市八里區觀海大道185號、185號2樓之1	26103313;26104913	長照		
67	佳新護理之家	機構喘息	新北市新莊區復興路3段31號	89924278	長照		
68	新北市私立圓滿老人長期照顧中心(養護型)	機構喘息	新北市三重區重新路五段639號10樓、639-1號10樓	29998867	長照		
69	財團法人台灣省私立健順養護中心	機構喘息	新北市深坑區昇高里王軍寮9號	02-26622499	長照		
70	私立大愛護理之家	機構喘息	新北市三重區三和路4段103之1號1~4樓	2287-0555	長照		
71	新北市私立弘安老人長期照顧中心（養護型）	機構喘息	新北市泰山區新北大道6段397號8樓	02-29018287 0922411818	長照		
72	八里同仁護理之家	機構喘息	新北市八里區賢二街10號	2619-5625	長照		
73	社團法人台北市營養師公會	居家營養	新北市板橋區館前東路116號2樓之8	29529827	長照		
74	新北市藥師公會	居家藥師	新北市三重區重新路五段646號8樓	22783277-13	長照		
75	益昇藥局	藥局	嘉義市西區民生北路３４６號	05-2225570	醫藥服務		
76	弘安藥局	藥局	嘉義市西區文化路２７7號	05-52780231	醫藥服務		
77	興業藥局	藥局	嘉義市西區福民里興業西路381號	05-2861880	醫藥服務		
78	照安藥局	藥局	嘉義市西區福全里博愛路二段361號	05-2332883	醫藥服務		
79	嚴昔志藥局	藥局	嘉義市西區垂楊里新民路785號1樓	05-2230398	醫藥服務		
80	世華藥局	藥局	嘉義市西區社內里民生北路２５６號	05-2273553	醫藥服務		
81	宏揚藥局	藥局	嘉義市西區合江街１２９號	05-2326623	醫藥服務		
82	建和藥局	藥局	嘉義市西區民生南路６２６號	05-2353933	醫藥服務		
